motivacion,relajacion,satisfaccion,aprendizaje,estres,ayuda,seguridad,actividad_fisica,amistad_familia,gratitud,pasatiempos,inspiracion,reflexion,comunicacion,creatividad,total
4,1,2,0,4,1,2,0,0,2,1,1,1,0,0,24
0,4,2,2,2,2,4,4,4,4,4,1,2,2,0,60
1,1,0,1,1,2,0,4,4,0,0,0,4,1,1,21
2,0,2,0,1,0,0,2,4,0,2,4,4,0,0,26
0,0,1,4,1,4,1,0,4,4,0,4,1,0,2,28
0,0,0,0,2,1,0,4,0,4,0,0,4,1,1,19
2,2,1,4,0,0,0,1,0,1,1,4,0,0,1,20
0,4,0,2,4,0,2,4,4,0,1,2,2,2,0,29
0,4,2,0,2,1,1,2,0,2,0,2,1,0,4,27
0,4,0,0,0,1,0,1,0,2,0,0,0,0,0,14
1,0,1,2,4,0,0,0,0,0,4,2,4,0,0,20
0,1,1,1,4,0,2,0,2,0,2,2,0,1,1,21
0,2,0,4,1,0,0,0,4,0,2,4,2,0,0,20
2,0,0,1,4,0,4,1,1,1,0,1,1,0,1,20
0,4,0,1,4,4,4,0,2,0,4,0,0,1,0,26
4,2,2,4,0,0,0,1,1,2,2,2,2,0,4,40
0,2,0,4,0,0,0,4,0,4,0,2,4,4,1,26
1,1,4,1,4,0,1,1,2,4,0,1,2,2,0,40
0,4,1,4,0,1,4,0,2,2,2,1,1,1,4,40
2,0,0,0,1,1,0,2,1,2,0,0,4,0,2,19
1,1,1,0,4,0,4,1,1,0,4,4,4,4,2,42
1,0,4,4,1,0,0,4,0,4,2,2,1,4,2,40
4,0,1,4,4,0,1,1,4,4,0,2,1,1,1,40
2,4,0,2,2,2,0,0,4,2,4,0,1,1,0,29
0,4,1,0,1,0,0,1,0,4,2,1,0,2,0,20
0,0,1,2,1,1,1,0,0,0,4,2,4,4,0,22
0,0,0,0,0,1,0,0,0,1,2,0,0,4,4,14
0,1,0,2,4,4,0,2,4,0,0,2,0,1,0,26
0,4,1,2,0,2,4,4,0,4,4,0,4,1,2,40
0,0,4,0,4,1,4,0,0,4,0,2,0,4,1,24
4,2,4,2,0,1,1,1,0,2,0,1,2,0,4,40
1,1,0,1,2,1,0,0,4,4,0,1,0,1,0,19
1,4,4,1,2,1,0,2,1,4,1,0,4,0,2,40
0,1,1,4,0,0,4,1,4,1,0,1,2,1,0,21
2,4,2,2,0,0,2,0,4,1,2,4,0,1,0,40
1,4,2,2,4,1,1,0,0,2,0,0,0,2,0,24
4,4,4,0,0,1,2,1,0,0,2,0,0,0,4,24
0,1,4,4,2,0,4,1,2,1,1,1,4,0,1,40
1,2,0,0,0,2,1,4,0,0,2,0,1,4,0,20
0,1,2,4,0,2,0,1,0,1,0,2,0,1,4,22
1,4,0,1,4,2,2,2,1,0,2,1,0,0,1,28
0,4,4,4,2,0,1,4,0,1,0,4,1,0,4,40
0,2,1,4,0,0,0,4,0,2,4,1,0,4,4,28
1,1,2,0,1,2,1,1,0,1,2,2,1,2,0,26
2,1,2,4,0,0,0,0,1,4,2,4,1,0,1,27
0,1,2,0,2,0,1,1,0,0,1,4,2,0,0,19
0,1,4,4,0,1,0,4,4,2,0,4,0,1,1,27
0,1,1,1,4,2,1,4,1,0,0,1,0,4,4,26
1,4,0,2,1,4,4,2,0,1,0,0,0,0,0,20
0,2,0,4,4,0,4,2,1,0,2,0,2,0,4,28
2,0,4,2,2,1,0,4,4,0,0,4,0,2,2,40
4,4,0,0,0,4,0,4,2,4,2,4,4,2,1,44
1,4,0,4,0,4,0,0,1,2,4,0,0,4,0,24
2,4,0,0,0,4,1,2,0,0,0,4,4,2,0,26
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,74
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04
